Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2014-15,20,LAL,NBA,PF,1,14,-7.5,.258,.000,.667,0.0,0.0,0.0,0.0,0.0,0.0,20.5,15.5,,-0.1,0.0,-0.1,-0.276,,-9.6,-5.6,-15.1,0.0
2015-16,21,LAL,NBA,PF,81,2286,13.9,.482,.043,.323,7.8,32.0,19.5,11.0,1.2,1.0,13.5,21.2,,-0.3,1.9,1.6,.035,,-1.9,-1.3,-3.2,-0.7
2016-17,22,LAL,NBA,PF,74,2132,16.3,.543,.082,.365,7.4,25.8,16.3,19.3,1.1,1.4,16.2,21.4,,2.0,1.5,3.5,.080,,-0.6,-0.3,-0.9,0.6
2017-18,23,LAL,NBA,C,82,2190,19.9,.606,.050,.470,8.9,22.8,15.9,15.8,0.9,1.7,16.3,25.3,,4.0,2.6,6.6,.145,,0.6,0.0,0.6,1.4
2018-19,24,NOP,NBA,PF,73,2232,20.9,.600,.179,.447,7.6,21.6,14.7,15.8,1.1,1.6,13.8,27.8,,4.2,1.9,6.1,.131,,2.1,-0.6,1.5,2.0
2019-20,25,NYK,NBA,PF,64,2080,17.5,.538,.230,.350,7.5,24.9,16.0,15.8,1.2,1.0,14.3,27.6,,0.9,1.8,2.7,.062,,0.7,-1.0,-0.3,0.9
2020-21,26,NYK,NBA,PF,71,2667,19.7,.567,.294,.325,3.5,25.7,14.7,27.2,1.2,0.6,13.8,29.3,,3.4,4.3,7.8,.140,,2.9,0.9,3.8,3.9
2021-22,27,NYK,NBA,PF,72,2544,15.7,.509,.313,.322,5.2,25.5,15.1,25.1,1.0,1.5,14.7,28.7,,-0.3,3.4,3.1,.059,,0.4,0.2,0.5,1.6
2022-23,28,NYK,NBA,PF,77,2737,20.3,.581,.444,.371,5.6,25.2,15.4,18.5,0.9,0.7,11.5,29.5,,5.0,3.1,8.1,.142,,3.9,-0.2,3.7,3.9
