Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2014-15,19,MIN,NBA,PG,77,1902,11.3,.515,.247,.261,1.6,11.6,6.4,24.0,1.4,0.4,20.4,22.0,,-0.7,0.0,-0.7,-0.018,,-2.2,-2.5,-4.6,-1.3
2015-16,20,MIN,NBA,SG,82,2294,14.3,.548,.330,.212,1.4,10.1,5.8,18.6,1.5,0.6,12.9,23.5,,1.9,0.7,2.6,.054,,0.2,-1.6,-1.5,0.3
2016-17,21,MIN,NBA,SG,47,1749,14.6,.576,.437,.197,1.2,9.5,5.3,12.6,1.2,0.5,9.9,21.7,,2.6,0.4,3.0,.082,,1.5,-1.4,0.1,0.9
2017-18,22,CHI,NBA,SG,24,656,14.6,.499,.346,.301,1.4,14.4,7.7,18.6,1.8,0.5,9.7,29.5,,-0.1,0.5,0.3,.025,,-0.8,-1.5,-2.3,-0.1
2018-19,23,CHI,NBA,SG,63,2171,18.7,.574,.283,.330,2.0,12.9,7.4,22.6,1.3,1.0,14.2,30.5,,1.7,1.1,2.8,.062,,2.4,-1.6,0.8,1.5
2019-20,24,CHI,NBA,SF,60,2085,19.4,.568,.404,.279,2.1,13.8,7.7,21.7,2.0,1.3,13.3,31.7,,1.8,2.2,4.0,.091,,3.3,-0.8,2.5,2.4
2020-21,25,CHI,NBA,SG,58,2034,21.5,.634,.425,.265,2.0,13.6,7.9,23.4,1.1,1.2,13.9,31.0,,4.0,1.8,5.9,.138,,4.9,-0.8,4.0,3.1
2021-22,26,CHI,NBA,SG,67,2328,20.0,.605,.401,.316,1.1,13.8,7.4,20.8,0.9,0.9,11.2,28.8,,4.5,1.3,5.8,.120,,3.9,-1.5,2.4,2.6
2022-23,27,CHI,NBA,SG,77,2768,19.0,.607,.392,.308,1.7,12.2,7.1,18.7,1.2,0.6,11.0,28.3,,4.2,2.9,7.1,.123,,2.7,-0.7,1.9,2.7
